ABERDEEN OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ939081,Long,-2.102492,Lat,57.163715,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,
November,,,5.21,1.95,3.43,2.02,2.22,2.63,3.87,1.32,5.65,3.89,2.61,4.2,1.57,3.92,1.28,1.83,3.28,1.32,4.44,2.21,2.29,2.94,1.22,5.37,3.72,2.13,1.39,1.93,5.54,4.68,3.13,1.76,3.65,2.74,3.26,3.63,1.91,4.53,1.63,1.54,2.07,3.12,2.56,1.9,4.23,4,3.93,3.55,3.53,4.39,1.65,3.24,2.42,4.26,1.36,1.65,2.68,3.22,7.24,5.72,0.81,2.36,2.61,1.25,5.98,2.79,,,,,,,,,,,,,,,,,,,,,,
December,,,6.88,2.34,1.73,2.15,4.35,3.2,1.58,2.29,2.81,1.93,1.32,2.14,2.78,4.31,6.87,2.89,2.07,4.9,3.01,3.86,2.89,2.54,2.53,0.83,3.38,3.48,4.88,4.01,2.59,5.41,1.19,1.95,5.26,5.98,4.38,1.27,2.39,5.57,3.61,1.57,2.3,4.16,3.16,1.81,0.95,2.46,2.8,6.54,3.96,1.39,1.41,1.91,4.18,3.19,1.98,4.31,3.83,1.65,2.88,0.84,2.05,0.99,3.54,4.41,2.86,2.37,,,,,,,,,,,,,,,,,,,,,,
Total,,,35.71,33.92,26.73,27.21,27.83,26.4,29.57,28.07,32.44,28.45,29.81,29.5,28.55,35.78,31.17,28.68,27.53,30.28,33.95,28.03,27.34,36.32,23.72,28.45,31.49,28.68,27.98,30.38,27.74,27.51,29.33,23.81,28.71,32.45,35.59,28.16,29.38,30.66,27.4,16.68,30.36,37.2,33.78,26.35,31.99,33.51,32.08,30.82,33.03,29.11,31.93,26.49,33.34,35.6,23.9,31.31,29.45,27.89,35.02,32.15,26.93,26.45,26.12,34.54,29.75,26.25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
