BUXTED PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ485227,Long,0.114994,Lat,50.984995,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,510/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
November,,,,,,,,2.12,2.44,2.11,4.18,0.92,6.74,1.09,3.02,1.19,1,2.86,1.49,5.92,3.68,8.4,1.02,2.17,5.74,3.95,2.98,1.3,1.83,,,,6.9,3.07,2.79,4.76,3.33,7.57,4.14,1.14,4.34,4.02,,,,,,,,,,,,,,5.98,1.48,1.15,3.35,4.18,4.16,0.64,2.56,2.57,1.49,5.66,6.85,2.82,1.56,1.52,5.35,6.75,2.7,4.59,5.2,4.53,5.76,2.33,2.78,3.48,,,,,,,,,,,,,,,,,,,,,,,,,4.83,,,,,,,,
December,,,,,,,,2.49,3.51,4,2.52,0.56,4.91,0.7,1.98,2.19,3.37,0.68,3.22,5.11,3.15,1.81,3.15,2.9,1,2.74,2.97,2.38,8.62,,,,6.06,0.94,2.58,1.49,8.08,2.48,2.04,0.98,3.76,3.35,,,,,,,,,,,,,,3.93,4.62,3.71,3.18,2.05,3.42,5,2.34,2.71,3.82,0.69,2.21,3.33,3.35,4.91,3.89,7.16,5.33,1.7,9.96,8.93,4.57,3.29,3.33,6.21,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,,
Total,,,,,,,,17.65,38.88,31.46,28.54,24.57,51.65,32.73,25.68,23.56,32.34,32.84,21.33,34.55,45.55,32.57,29.84,26.69,23.29,41.29,41.05,31.43,37.46,,,,,27.65,25.72,30.58,34.41,40.75,31.81,33.59,32.1,33.44,,,,,,,,,,,,,,28.04,31.35,28.81,21.97,25.3,28.92,23.82,25.66,37.83,27.07,29.68,33.39,27.84,28.8,33.25,34.83,35.24,41.85,37.59,38.57,46.11,40.53,33.76,39.34,37.29,,,,,,,,,,,,,,,,,,,,,,,,,26.86,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The GR is for the House at Buxted Park, there are a number of observers all of whom have been connected to the House (owner or gardener) or have described the location that generally matches the house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gaps in the record are generally due to a change of owner and/or tenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847 – 1868 Colonel Harcourt – his wife inherited Buxted Park 1851; presumably they lived at the house before.  The 1860s sheet has an altitude of 104ft – good match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869 to Sep 1872 gap – possibly due to major renovations to the house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 1872 to Dec 1879. Colonel Harcourt/W J Huggett (gardener). This sheet indicates a possible altitude of 193 ft. – the highest point on the estate is about 170 ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1880 – 1881 The Right Honourable W H B Portman MP (2nd Viscount Portman?), his wife was the niece of Colonel Harcourt’s wife and inherited Buxted Park in 1880, when the Colonel died",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1883 – 1894 gap. The Portman main estate was at Bryanston in Dorset. They owned Buxted until 1929 but may have not lived their much, if at all. An Edmund Deacon is quoted as living their in the 1890s, a tenant? .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1895 – 1909 H C Prinsep, head gardener at Buxted Park. The altitude quoted is 100ft./94ft and the church is quoted as being 0.5 miles or in pencil 0.25 miles north and the Railway Station 1 mile East – reasonable agreement with the main house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910 – 1919 Mr G Phillips for the Honourable H B Portman , the altitude is 94 ft. and the church 0.25 miles N and Railway Station 1 mile East – good agreement with the main house. I think this Mr Portman died in 1919.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944 Mr (could be Ms (In 1944?)) A V Pike, who I cannot find any reference to. Church 0.25 miles N and railway station 1 mile East – Good but altitude 150ft. I have included this record but as it adds little to the overall record you may wish to delete it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There is one other record for 1868 only by the aforementioned gardener, Mr W J Huggett, which duplicates the other record, therefore I have not included it. This sheets records an annual total of 34.73 vs. 37.46 on the other record!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
