WESTONBIRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST848898 ,Long,-2.221,Lat,51.607,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
November,2.61,4.53,5.75,4.15,1.37,6.12,3.07,3.24,7.29,1.67,2.55,2.77,3.31,2.64,5.59,5.99,0.8,1.47,3.09,3.08,2.92,1.01,2.88,2.72,2.33,4.02,3.72,3.01,1.9,1.52,5.72,4.9,3.43,4.16,4.52,2.35,3.74,1.11,2.76,2.07,1.77,3.03,1.9,2.52,2.54,2.03,8.07,2.95,3.73,8.62,4.72,5.2,2.27,0.86,1.56,6.74,4.49,1.67,3.43,5.91,7.97,2.36,1.6,1.88,5.83,0.38,4.85,2.57,1.9,3.34,6.25,6.75
December,4.54,4.78,5.13,1.12,5.22,0.78,5.65,2.08,3.26,2.19,0.85,4.73,1.14,3.46,3.14,2.71,3.78,4.72,3.41,3.03,6.5,5.62,3.17,2.41,2.51,1.21,2.07,7.14,3.46,6.3,7.41,8.66,6.82,2.63,7.62,7.23,4.1,0.86,3.65,6.42,4.25,2.14,4.61,4.07,5.36,4.75,0.71,3.26,3.61,8.31,4.23,2.36,1.43,0.57,7.12,4.39,3.51,2.2,3.74,2.32,1.36,2.15,3.98,1.72,1.92,4.85,2.55,2.28,4.2,1.63,2.03,2.64
Total,,35.91,48.75,33.48,29.17,32.57,39.13,24.89,34.96,27.85,24.17,46.52,28.6,27.48,39.26,30.87,29.91,38.06,27.12,30.56,35.9,29.45,28.71,45.27,32.18,25.21,31.99,38.25,33.02,42.98,48.27,35.6,50.24,39.03,42.31,41.95,44.61,34.32,35.44,36.07,36.76,23.16,37.64,38.71,43.53,37.58,36.86,42.52,37.7,33.66,37.8,39.22,38.22,26.51,27.34,40.2,33.33,33.05,30.65,35.07,33.12,31.49,33.32,29.07,29.74,28.96,37.93,30.68,35.69,28.49,38.31,38.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 Feb,(0.05) 5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896 Oct,Figure given on sheet is 4.34 but mm conversion gives 4.38 Oct figure and year total amended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 total miscalculated and fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description of location: https://www.fowa.org.uk/blog/moving-up-the-stations-by-sally-day-database-and-records-officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
