WESTMINSTER SPRING GARDENS GAUGE NO. 1 (ROOF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ299803,Long,-0.128946,Lat,51.507148,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,38/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
November,1.37,2.11,1.61,1.39,0.36,0.81,2.19,1.36,0.34,2.67,1.74,1.59,2.78,2.61,3.02,2.5,0.61,1.5,1.92,1.97,2.31,1.35,2.55,2.13,2.63,3.24,0.79,1.14,1.66,2.05,1.59,2.34,3,1.04,0.85,1.74,3.88,1.55,0.5,1.55,1.99,1.51,2.73,3.5,1.79,0.61,0.7,2.56,2.96,1.39,2.41,3.14,2.09,3.76,1.4,2,1.18,0.99,,,,,,,,,,
December,1.01,0.36,0.76,1.66,1.56,3.93,2.39,2.53,0.78,3.55,0.31,1.61,0.7,5.17,1.47,0.99,0.52,2.6,2.12,1.95,0.53,1.98,0.77,3.29,,1.25,1.08,,2.59,1.39,2.05,1.91,2.09,3.16,1.94,1.98,1,2.19,2.58,1.22,1.16,1.64,0.78,1.71,2.98,1.46,2.04,3.5,3.97,2.8,0.81,6.42,4.87,2.25,1.1,2.01,3.28,2.12,,,,,,,,,,
Total,17.32,14.74,24.37,26.65,20.43,18.78,21.32,16.67,19.91,26.17,19.21,16.49,22.79,21.9,24.74,24.56,27.18,24.7,21.73,21.21,19.06,15.84,21.75,21.38,,21.79,20.11,,,20.19,16.23,23.01,19.08,20.67,20.29,14.85,21,19.34,18.99,16.91,32.97,19.17,21.22,20.79,18.95,19.8,23.41,21.75,21.91,24.97,20.13,24.43,31.51,31.33,26.81,27.98,23.44,21.99,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This location had 3 gauges, one at ground level and 2 at roof level, with the ground level gauge covering the most years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No readings for Dec 1887 and Dec 1890 to Feb 1891 because of broken gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results in Feb and Mar 1895 are noted as partly computed because of frost; the computed readings have been included in this record for these months and annual total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The records note that the gauge was not read on Sundays, presumably because the offices were closed. This might mean some monthly readings might be incorrect if the end of the month occurred on a Saturday and it rained over the weekend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relevant pdf files on Met office website are:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDF file,,,Page number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_01_pt1,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_01_pt1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_01_pt1,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_01_pt1,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_01_pt1,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_01_pt1,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_01_pt1,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
