WESTMINSTER SPRING GARDENS GAUGE NO. 2 (ROOF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ299803,Long,-0.128946,Lat,51.507148,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,38/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
November,1.5,2.25,1.68,1.42,0.41,0.84,2.2,1.47,0.37,2.76,1.81,1.63,2.8,2.78,3.16,2.63,0.64,1.65,2.13,2.17,2.53,1.56,2.94,2.54,3.01,3.5,0.85,1.21,1.71,2.13,1.67,2.42,3,1.04,0.85,1.73,3.89,1.55,0.49,1.54,1.9,1.43,2.61,3.41,1.71,0.58,0.69,2.39,,1.37,2.41,3.13,2.09,3.76,1.38,2,1.17,0.99,,,,,,,,,,
December,1.08,0.38,0.77,1.78,1.75,4.2,2.41,2.7,0.8,3.76,0.34,1.68,0.72,5.47,1.52,1,0.6,2.84,2.42,2.13,0.58,2.2,0.91,3.67,1.23,1.42,1.11,,2.82,1.5,2.13,2.03,2.09,3.16,1.9,1.97,1.04,2.17,2.58,1.21,1.13,1.55,0.74,1.64,2.84,1.43,1.91,3.32,,2.76,0.81,6.39,4.83,2.26,1.08,2.01,3.27,2.12,,,,,,,,,,
Total,18.47,15.69,25.47,28.1,21.65,19.81,22.11,17.49,20.85,27.6,20.09,17.28,24.02,23.01,25.93,25.63,29.26,26.57,23.19,23.27,20.78,17.53,24.4,24.06,,24.3,,,,21.18,16.97,24.08,19.17,20.67,20.13,14.77,21.09,19.39,19.02,16.94,34.01,,20.28,19.89,18.12,19.14,22.42,20.83,,24.5,19.96,24.3,31.37,31.23,26.78,27.91,23.35,21.92,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This location had 3 gauges, one at ground level and 2 at roof level, with the ground level gauge covering the most years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No readings for Jan and Feb 1887, Mar and Apr 1889, Dec 1890 to Feb 1891 and July 1904 because of broken gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results in Feb and Mar 1895 are noted as partly computed because of frost; the computed readings have been included in this record for these months and annual total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911 not recorded, no reason given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The records note that the gauge was not read on Sundays, presumably because the offices were closed. This might mean some monthly readings might be incorrect if the end of the month occurred on a Saturday and it rained over the weekend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relevant pdf files on Met office website are:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDF file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_01_pt1_38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_01_pt1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_01_pt1_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_01_pt1_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_01_pt1_82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_01_pt1_84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_01_pt1_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
