"DRUMSNA -ALBERT LOCK, County Roscommon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IM999956,Long,-8.002,Lat,53.910,Elevation,146,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6164/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
November,3.25,1.63,3.57,4.18,1.07,3.32,2.52,2.53,3.83,4.04,4.42,2.58,2.47,3.18,1.31,2.61,2.45,2.04,3.38,4.84,2.68,2.65,3.42,2.43,4.22,4.07,1.69,1.92,2.52,3.03,0.92,2.03,1.95,2.49,3.91,1.08,3.34,2.41,2.86,3.29,1.81,1.72,0.97,2.72,2.72,0.68,3.70,5.00,2.37
December,2.14,3.38,2.46,3.93,4.32,5.75,3.24,4.04,4.38,3.32,3.58,2.94,2.54,1.64,2.92,3.13,3.17,3.62,2.26,5.77,4.21,4.23,3.37,5.95,2.87,1.86,2.73,4.53,2.70,2.02,2.68,1.88,2.36,1.81,0.78,1.63,1.12,3.76,2.24,1.38,3.37,1.21,3.22,2.29,2.64,2.01,3.08,2.29,2.96
Total,,28.43,35.03,28.74,31.31,36.07,31.61,29.80,36.82,34.23,30.94,45.94,36.63,28.96,31.85,31.10,33.41,30.38,38.29,30.54,33.82,37.75,34.10,31.25,36.40,33.42,28.54,23.89,26.11,18.82,22.04,26.34,28.36,23.42,23.22,25.49,27.90,19.90,25.98,27.37,25.77,20.20,26.50,26.96,31.42,23.26,30.96,27.28,31.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_28_pt1/016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_32_pt1/090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_30_pt1/057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_37_pt1/056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_28_pt1/148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to Met Eireann.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
