BIRDSALL GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE819651,Long,-0.750,Lat,54.075,Elevation,308,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,2.69,1.69,1.03,3.47,3.82,2.86,2.65,2.78,2.59,4.17,2.44,1.85,2.63,1.23,2.24,1.60,3.82,1.77,3.18,4.04,4.17,3.12,4.27,4.22,3.96,1.49,2.96,2.18,4.95,3.33,2.36,3.11,3.53,3.74,3.40,0.61,2.85,4.12,1.15,6.03,1.74,1.05,4.93,4.82,5.98,2.35,2.56,5.67,2.01,1.44,2.85,0.95,3.87,4.70
December,4.30,2.34,5.07,2.86,5.52,1.63,1.75,5.49,5.80,3.02,1.96,4.34,4.61,3.42,2.07,3.50,3.35,2.94,3.44,0.84,2.89,2.19,7.11,2.64,1.33,1.21,0.87,4.69,2.82,1.81,4.22,4.78,1.91,2.49,0.50,2.22,1.63,2.17,1.89,3.56,2.03,2.54,2.35,3.55,2.50,3.14,1.34,3.02,3.36,2.82,3.14,3.99,4.61,3.75
Total,28.79,25.30,31.65,34.29,30.53,34.16,24.69,28.42,31.18,33.20,31.40,30.29,31.92,30.41,21.88,32.09,34.81,31.71,29.66,28.27,36.12,33.72,27.15,36.63,34.67,25.54,27.29,27.53,30.58,30.93,34.98,31.94,31.71,29.87,28.45,25.08,25.52,33.26,28.50,35.07,26.81,29.34,23.08,33.99,36.95,28.72,23.48,37.48,25.39,35.05,31.24,36.28,23.92,39.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The rain gauge is marked on the 1910 OS 25 inch map, near Home Farm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The grid reference shown on the 1950s sheet is for Birdsall House itself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
