BARNETBY RAILWAY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA053098,Long,-0.411,Lat,53.574,Elevation,51,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
November,1.38,2.30,3.36,0.79,2.00,2.32,1.62,2.41,1.20,1.75,1.30,1.78,1.41,2.41,1.89,2.59,4.62,2.40,2.06,3.93,1.78,2.55,2.54,3.50,3.38,1.14,1.95,1.73,2.53,3.95,0.36,2.45,3.46,1.15,3.26,1.69,2.43,1.60,3.05,2.78,1.19,1.98,3.12,0.29,1.39,1.03,2.83,4.82,2.21,1.45,0.61,1.89,2.82,2.54,1.63,1.91,2.63,2.89,1.03,1.81,3.11,0.66,1.88,1.04
December,1.67,1.66,1.30,1.55,1.41,1.71,0.57,1.30,1.51,5.40,4.60,3.51,1.80,2.71,1.30,1.52,0.71,4.59,1.46,0.90,1.42,2.18,2.55,4.74,1.22,2.98,0.91,4.72,1.12,1.99,1.03,0.51,2.68,0.64,2.17,1.59,2.10,3.60,1.57,1.81,0.89,3.08,6.21,0.67,1.02,1.40,0.22,2.25,2.26,1.42,3.19,2.90,2.82,2.75,1.17,4.67,4.60,2.96,1.82,3.54,2.98,2.23,1.94,2.57
Total,,27.04,21.15,22.10,20.97,17.03,20.73,23.60,19.21,22.38,27.42,26.90,27.65,31.01,18.92,16.67,25.46,26.77,23.29,28.49,26.59,27.84,25.03,36.91,31.59,17.83,26.24,28.54,15.40,24.85,25.67,18.76,27.26,24.24,17.51,26.22,26.92,30.60,25.21,20.37,21.91,25.69,24.37,16.75,26.97,20.96,20.97,27.33,23.57,22.17,29.18,25.43,20.13,31.76,18.56,22.93,24.26,27.10,24.35,23.65,30.73,26.11,15.21,24.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# This was an MS&L Railway site, part of its Lincolnshire railways network.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
