RHODES WOOD RESERVOIR OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK042981,Long,-1.937429,Lat,53.480057,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
November,,,,,,1.28,5.1,1.16,0.95,3.15,3.64,6.09,1.54,4.63,4.64,4,7.84,2.4,3.82,6.04,2.71,1.89,5.6,3.85,6.4,5.86,3.76,6.55,4.5,2.33,5.07,3.93,7.2,4.02,2.11,3.04,2.31,2.16,8.79,2.36,6.8,4,2.72,4.23,2.93,3.43,2.24,5.35,3.07,1.69,3.26,6.11,2.03,4.61,4.1,4.94,5.1,3.44,2.87,1.73,5.2,5.26,3.96,3.98,4.86,4.25,4.36,5.57,2.12,4.26,1.6,2.12,3.34,6.4,2.21,4.43,4.68,5.78,7.03,8.93,5.92,5.49,3.74,2.71,,,,,,,,,
December,,,,,,1.55,4.57,1.79,4.81,3.53,2.1,2.42,4.19,4.34,2.4,1.18,6.53,6.22,9.53,5.74,3.43,2.83,3.55,1.5,3.43,1.9,6.93,4.05,2.2,3.52,7.27,4.9,4.65,4.73,5.46,3.2,6.07,3.01,2.42,3.92,0.54,8.06,3.06,4.53,4.1,5.14,5.38,3.89,5.77,3.43,5.48,7.18,3.28,1.63,2.76,0.86,4.7,3.49,3.02,7.06,6.1,6.25,6.08,3.72,6.24,7.86,3.9,3.24,8.75,7.56,2.98,6.88,5.65,4.32,4.02,4.52,3.43,1.52,3.53,6.86,3.44,2.22,2.43,0.82,,,,,,,,,
Total,,,,,,34.49,49.16,40.04,42.77,46.34,47.85,40.22,47.28,48.04,38.5,37.25,58.45,49.55,46.93,49.16,39.88,38.99,59.25,37.66,42.53,40.73,46.85,57.05,42.54,41.91,50.73,45.59,54.57,49.56,37.4,40.85,47.3,25.64,39.49,42.35,42.57,50.14,47.99,40.44,45.86,41.84,45.06,41.31,42.28,40.99,44.49,37.44,32.25,48.39,35.09,39,44.69,42.74,39.18,45.92,48.55,42.35,50.18,37.1,46.05,46.07,49.34,41.68,53.42,46.14,49.64,35.12,46.28,51.33,42.11,43.98,48.01,53.18,50.91,44.06,56.52,58.78,46.8,36.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A New Gauge was installed at the same site and overlapped this gauge by nearly 5 years, the New Gauge readings are slightly lower than the Old Gauge during this overlap period",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relevant Met Office files are:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1-page-104.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt2-page-024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_07_pt3-page-027.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt4-page-043.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_14_pt1-page-201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_18_pt1-page-215.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_17_pt1-page-128.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_19_pt1-page-013.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_16_pt1-page-192.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
