KINTYRE SKIPNESS CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 908 577,Long,-5.336774,Lat,55.767656,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5419/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5419/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,,,,,,,,,,,,,,,
November,7.5,5.62,4.63,4.86,5.3,6.1,2.58,3.65,6.67,4.72,6.63,6.96,5.23,4.44,4.82,5.78,5.88,4.63,4.72,3.37,5.22,6.35,5.68,6.28,6.83,1.99,5.58,11.08,6.82,5.11,6.92,3.52,4.41,5.63,3.15,2.14,7.11,5.95,,,,7.19,4.13,2.82,2.52,5.58,3.65,,,,,,,,,,,,,,,
December,1.9,8.4,4.2,6.55,2.13,6.2,5.26,6.35,6.72,6.13,8.78,4.63,5.34,3.87,3.92,3.73,6.12,6.38,3.64,4.22,4.28,6.11,8.34,5.85,6.44,6.87,5.11,3.43,5.63,9.99,4.1,9.11,3.98,6.67,6.06,3.5,4.03,1.07,,,,5.33,6.95,1.86,6.43,4.42,6.66,,,,,,,,,,,,,,,
Total,57.99,47.17,50.38,48.51,52.12,44.32,45.96,51.03,54.13,49.76,57.21,45.42,42.14,62.51,49.28,46.11,56.67,48.89,46.06,45.17,45.57,40.9,49.2,45.73,45.67,39.28,52.54,52.25,50.26,43.37,56.23,51.54,44.61,60.7,44.49,43.04,56.57,53.11,,,,,51.31,40,51.56,54.59,47.26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan to October 1931 deleted relate to another Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June to December 1928 deleted as refer to another Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
