EASTON-ON-THE-HILL (Easton House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF011047,Long,-0.507677,Lat,52.630649,Elevation,271,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,
November,,,,,,,,0.46,1.74,2.19,1.42,1.18,3.46,2.07,2.12,3.72,3.24,2.08,3.27,1.06,2.25,2.55,3.02,3.89,1.54,3.29,2.65,1.83,2.91,0.63,3.51,3.03,0.89,1.77,2.89,3.34,1.02,1.21,1.44,1.23,2.57,1.26,1.96,1.83,1.2,2.96,3.73,2.19,0.78,0.82,3.18,2.28,1.65,2.34,2.33,2.97,3.28,0.85,2.29,,,,,,
December,,,,,,,,2.07,5.72,2.94,2.46,0.92,3.08,0.41,1.72,1.5,5.3,1.76,1.42,0.79,2.25,2.61,4.05,0.98,1.8,0.86,3.47,0.85,1.39,1.53,0.41,2.71,0.91,1.28,1.56,1.84,3.36,1.73,1.72,1.38,4.52,4,1.2,1.11,1.73,0.77,2.08,3.11,0.31,3.9,6.56,4.32,3.14,0.89,4.67,4.2,3.2,0.78,2.21,,,,,,
Total,,,,,,,,23.71,24.78,25.77,17.18,22.64,34.49,21.95,19.22,32.63,30.47,24.68,25.72,25.31,33.99,28.44,32.02,30.3,18.22,26.77,28.87,15.05,20.65,24.41,19.66,24.73,20.89,15.32,21.37,19.25,21.77,21.33,17.98,20.5,24.96,23,21.07,31,20.12,21.49,25.02,27.28,18.63,26.52,28.43,20.02,35.17,22.33,23.97,26.75,28.31,22.47,24.31,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1887 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values for 1913 entered at concat stage (TYR 1920s sheet used for back entries of 1910s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values for 1917 entered at concat stage (TYR 1920s sheet used for back entries of 1910s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values for 1918 entered at concat stage (TYR 1920s sheet used for back entries of 1910s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
