HUNMANBY - HOLLY BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA096775,Long,-0.322,Lat,54.182,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
Total,22.77,30.31,30.62,25.19,27.33,27.34,25.54,30.11,28.36,21.92,31.06,21.16,21.15,22.44,23.77,22.25,30.09,26.19,25.39,32.23,23.02,26.08,27.51,27.59,22.90,27.97,29.40,26.79,17.57,27.45,25.25,27.33,26.40,23.03,27.66,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings are aggregated for the following months:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-February 1895 (6.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - July-September 1895 (9.38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - November-December 1895 (5.11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - August-September 1897 (7.08),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - February-March 1898 (3.55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-February 1901 (5.84),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - June-July 1901 (2.61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for March and May 1928 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# A comment on the 1920s sheet says 1921 is not reliable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Hollybank House is at 2 Stonegate, Hunmanby.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
