BOLTBY VILLAGE - SOUTH EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE493865,Long,-1.244,Lat,54.272,Elevation,460,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,1.73,3.43,1.19,2.27,1.82,3.72,1.68,2.95,5.96,3.48,2.64,3.54,4.03,4.96,1.81,4.57,2.40,5.60,3.50,2.98,3.40,2.52,4.02,3.75,0.92,3.92,4.48,0.51,5.33,2.29,0.67,3.96,,6.78,2.50,,5.61,2.15,1.64,1.83,1.10,5.15,4.54
December,3.99,3.69,4.03,2.28,4.22,3.37,3.65,3.15,1.29,2.35,1.92,5.13,3.14,1.45,1.21,1.15,5.80,3.10,2.00,5.45,,1.99,2.55,0.58,2.40,1.40,2.08,1.94,3.45,2.28,2.76,2.80,3.38,2.52,1.90,,2.86,2.76,2.78,2.29,3.42,4.98,3.68
Total,30.91,32.87,31.81,20.29,30.97,33.90,31.71,31.58,,40.11,30.55,27.69,43.54,38.24,30.10,29.05,31.97,35.62,34.09,33.82,,33.88,28.83,29.67,27.11,26.85,33.64,27.60,32.89,27.81,29.98,,,38.94,28.87,,39.93,23.82,,30.83,37.23,24.04,40.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for 1910-1912 are for the Boltby Cliff Head No 1 site (SE494867) where the gauge resided before moving to the village.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for 1913-1917 are for the initial site in the village where the gauge resided before moving further to the south east.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for September 1926 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for December 1938 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for October 1949 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for November 1950 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for November and December 1953 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for March 1956 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1977 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
