SKYE DUNVEGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG247490,Long,-6.590633,Lat,57.447537,Elevation,47,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,
November,,,,,,,,,,,8.02,12.05,10.44,9.97,8.42,8.04,3.06,11.28,7.1,4.69,9.55,8.1,9.05,7.25,,6.13,,,,,,,,,,,,,,,,,,,,,,,,,5.59,8.76,9,11.56,8.61,4.48,9.67,11.16,7.73,5.96,9.48,5.23,4.28,7.5,5.42,5.76,6.82,7.36,9.97,6.8,6.86,8.39,6.11,2.93,5.86,4.81,6.13,3.25,12.99,9.72,11.81,5.26,2.87,8.03,4.88,0.86,,,,,,,,,,,
December,,,,,,,,,,,5.3,12.35,8.74,12.43,4.32,8.03,6.03,13.76,7.45,6.71,6.8,7.3,8.1,9.15,,8.12,,,,,,,,,,,,,,,,,,,,,,,,,6.67,11.71,16.39,7.46,9.8,8.28,6.92,4.8,9.69,10.54,6.27,11.7,7.47,8.46,10.12,7.21,5.83,1.12,8.47,9.13,8.49,6.14,5.24,3.67,6.42,4.21,10.64,4.75,6.95,4.19,9.18,5.4,13.3,4.4,7.35,6.42,,,,,,,,,,,
Total,,,,,,,,,,,61.21,74.85,93.11,87.71,103.97,72.77,72.6,86.42,71.36,60.61,56.79,61.89,75.9,62.15,70,74.68,,,,,,,,,,,,,,,,,,,,,,99.65,,,66.42,77.52,85.23,75.65,74.45,52.7,65.87,68.19,86.06,71.2,82.24,71.3,60.95,68.9,60.98,58.69,65.71,61.86,75.65,63.11,65.45,58.92,62.28,47.22,71.17,60.91,48.47,51.03,91.13,58.2,63.72,44.07,69.45,79.3,64.11,52,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1871 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1880 Jul-Sep bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1884 Total removed - incomplete year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR 1946 Nov, Dec, Total - stn terminated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
