MOUNTAIN ASH DARRANLAS RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST043990,Long,-3.3844,Lat,51.6821,Elevation,552,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,11.08,2.93,7.52,7.35,5.5,3.15,10.04,12.16,1.44,7.32,8.16,6.08,7.18,3.32,5.96,3.28,4.11,7.46,5.37,4.66,4.22,3.26,7.89,10.6,4.49,10.39,8.66,4.15,7.29,3.71,5.85,4.1,4.81,4.03,3.23,6.44,3.99,2.88,13.33,4.6,9.89,21.82,9.25,16.53,4.9,1.47,2.23,8.07,8.3,3.47,12.6,14.36,16.34,5.13,1.07,4.63,12.16,1.02,14.73,7.45,3.31,7.39,8.37,12.85,4.57,6.14,15.65,7.32,1.84,3.12,2.85,10.73,17.72,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,10.05,4.07,1.01,14.26,2.95,10.18,6.19,6.97,12.85,16.95,11.58,4.64,13.37,10.91,6.77,6.68,6.4,2.03,3.11,11.98,5.64,12.53,10.17,18.03,12.67,3.38,13.55,16.85,4.76,1.36,12,11.61,11.35,4.2,12.16,5.52,12.07,5.92,0.34,4.34,8.49,18.23,7.85,4.21,4.79,2.67,15.26,5.48,13.1,5.06,7.89,4.12,4.72,6.56,10.84,3.8,6.12,9.17,8.21,5.77,11.4,6.91,3.79,10.65,5.42,1.88,7.15,10.68,10.05,5.14,6.49,16.56,10.82,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,60.1,42.89,50.7,77.99,44.99,57.31,74.78,61.38,54.2,77.48,57.54,57.28,74.24,53.9,45.85,86.18,59.08,49.54,55.63,61.72,55.48,60.26,71.05,65.37,80.3,70.36,76.46,64.38,67.18,51.58,72.79,55.73,79.84,44.35,57.84,65.78,73.54,62.36,53.5,59.94,75.3,77.33,72.79,65.32,68.73,47.3,55.45,58.73,65.45,53.14,71.72,75.23,64.92,53.99,58.72,64.82,66.51,65.45,79.65,55.18,77.68,57.48,72.41,75.64,60.44,57.17,86.69,59.46,53.52,70.28,67.45,70.21,86.99,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Apr 1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Total 1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
