GRANTHAM - SALTERSFORD PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK926334,Long,-0.625,Lat,52.890,Elevation,188,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,2.96,3.93,1.35,2.74,2.42,2.18,3.66,0.53,3.53,3.13,0.72,2.16,2.05,3.27,0.99,1.32,2.12,1.50,1.80,1.53,1.84,1.87,0.91,2.59,3.74,1.90,0.90,0.39,3.45,2.41,2.12,2.28,3.31,2.89,3.55,0.92,1.96,1.92,0.97,1.30,1.20,2.20,1.72,2.53,2.91,3.09,2.28,4.45,3.14,2.06,1.66,2.19,2.22,4.59,2.46,1.35,1.92,2.90,5.33,2.79,2.60,1.70,3.27,0.55,4.22,1.20,1.43,2.95,4.48,5.49,2.21,1.67,4.86,1.16,1.07,2.14,1.46,2.21,3.05
December,4.28,1.03,1.75,1.03,3.41,1.35,1.32,1.64,0.69,2.74,0.74,1.91,1.70,1.98,3.32,1.65,1.84,1.92,4.12,4.86,1.78,0.97,1.64,0.47,2.10,2.45,1.17,4.25,5.64,4.30,3.47,0.81,4.60,4.83,2.74,0.73,2.50,3.33,2.25,1.23,3.31,2.40,2.01,2.17,0.74,2.50,1.82,3.63,2.10,0.93,0.64,0.36,3.86,2.72,1.50,2.22,4.02,1.65,1.62,0.55,1.55,0.83,1.17,1.66,3.07,2.26,3.31,1.61,1.51,1.47,2.02,0.96,2.73,1.38,2.00,2.46,2.92,3.43,3.84
Total,34.67,32.55,17.76,26.88,30.57,17.01,22.19,27.17,19.00,26.35,21.00,17.83,21.36,19.89,20.07,23.88,19.16,21.53,26.32,22.06,22.42,29.91,20.55,21.05,24.96,25.10,18.54,27.37,27.75,20.66,33.84,22.43,25.86,27.52,30.05,22.18,21.32,30.86,23.00,14.65,30.43,25.69,27.57,23.08,23.94,29.01,22.63,19.06,27.14,27.27,28.10,18.88,20.56,24.91,27.01,27.92,23.64,30.56,23.96,28.99,22.21,18.46,25.67,19.54,,19.31,26.65,23.09,25.06,31.06,21.24,20.51,31.42,23.83,26.28,25.18,29.22,20.54,34.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The June 1946 figure is shown as an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The January-June 1900 readings are identical to those for the Grantham Guildhall site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings have been retained - it is not clear which site copied values from the other.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1990 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IDR 1913 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
