GLAISDALE - THE GABLES GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ775054,Long,-0.807,Lat,54.438,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946
November,6.93,3.88,3.17,1.89,1.64,5.31,5.94,4.53,2.22,4.14,4.06,4.80,2.58,1.91,3.49,1.24,2.45,2.13,5.88,1.68,,5.81,5.96,4.47,4.27,7.02,4.11,1.98,4.86,3.38,6.30,3.71,3.52,4.30,3.32,5.31,,,,,,7.14
December,1.02,2.00,3.56,2.75,4.86,3.31,5.80,1.22,1.44,7.58,7.16,4.03,2.25,5.27,5.53,4.02,2.27,5.99,4.77,4.59,6.40,1.98,3.50,2.19,5.89,4.19,2.34,2.16,1.46,5.91,2.68,3.11,5.44,4.49,2.32,4.23,,,,,,4.90
Total,28.26,29.94,32.79,26.83,42.30,34.81,37.57,40.64,28.78,38.35,42.08,37.07,36.38,33.42,40.07,34.92,24.30,41.65,41.75,38.26,,36.68,43.11,39.89,32.42,54.71,45.03,40.52,,34.95,39.74,37.89,39.61,35.05,45.13,37.03,,,,,,40.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The January and February 1917 figure is an aggregate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The figures for October and November 1925 are adjusted from nearby stations and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The figure for September 1933 is adjusted from nearby stations and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The January 1940 figure is part estimated for snow and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The 1946 readings may be from a slightly different location, as the altitude is 100 ft higher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
