BOURNE - GUTHRAM GOWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF171225,Long,-0.265,Lat,52.787,Elevation,19,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,1.75,0.77,0.44,1.94,1.95,1.58,1.93,1.78,2.40,2.47,0.81,2.04,1.51,0.51,1.11,1.03,1.58,2.00,1.79,3.28,3.38,3.59,3.43,2.44,1.67,1.20,1.91,2.21,4.62,2.02,1.61,1.80,3.24,3.78,3.00,2.93,1.49,2.70,0.71,4.49,0.91,1.65,2.52,3.50,3.82,2.60,1.93,4.55,1.35,0.58,1.61,1.25,1.52,3.26
December,2.27,0.87,2.95,4.07,3.35,2.05,0.31,2.98,4.68,2.48,0.48,2.18,2.77,1.73,0.97,2.41,2.68,2.07,1.40,0.53,3.30,2.26,3.29,1.56,0.65,0.50,0.34,3.46,2.75,1.51,2.69,3.60,2.27,1.66,0.48,1.54,0.79,1.06,2.17,2.30,1.79,2.05,1.40,0.96,1.29,1.62,0.55,2.18,1.45,1.80,1.91,2.65,3.46,3.57
Total,19.66,15.63,19.05,21.78,15.71,26.61,17.07,18.34,24.27,25.56,16.25,20.82,21.21,19.50,11.02,22.60,21.76,26.08,21.61,,29.57,29.59,20.86,21.56,20.52,22.33,16.00,18.60,24.66,25.75,27.72,20.56,28.05,22.40,28.75,23.03,20.01,27.22,19.44,27.55,18.29,24.01,19.91,23.90,27.13,20.37,20.10,28.35,18.26,20.36,23.31,28.53,16.79,28.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The June 1926 figure is shown as an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1972 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
