WHITBY - MULGRAVE CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ845126,Long,-0.697,Lat,54.502,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,2.49,1.78,2.50,3.04,1.61,2.94,4.53,0.99,3.08,2.39,4.84,2.96,2.43,1.65,1.33,3.16,3.32,2.83,2.00,3.03,2.42,3.63,1.84,1.49,2.69,0.68,2.88,0.90,4.47,1.50,4.41,5.01,5.15,2.30,2.99,3.54,1.71,1.81,3.42,3.69,5.08,2.47,2.65,2.96,3.05,,,,,,,,,,,,5.95,4.66,1.68,4.90,1.89,2.05,2.11,1.12,5.14,4.17
December,1.90,3.24,2.11,1.68,2.94,2.30,4.06,2.80,1.25,2.12,0.53,2.31,3.62,1.94,3.66,2.61,3.96,1.15,1.43,6.05,6.61,3.21,1.11,3.58,2.75,2.77,1.09,3.75,3.41,2.75,5.48,1.09,2.24,1.05,6.14,2.61,1.80,1.13,1.43,4.75,2.54,2.21,4.67,3.61,2.15,,,,,,,,,,,,2.76,3.16,1.13,2.15,3.60,2.30,1.60,3.72,4.89,2.85
Total,,25.96,27.28,25.84,26.93,33.82,28.94,22.28,34.18,23.06,22.72,26.79,28.60,23.00,33.38,27.62,31.18,35.05,27.38,29.35,34.17,30.51,28.46,26.31,31.12,28.26,20.85,31.10,31.73,30.20,33.92,31.94,32.75,28.01,25.89,38.94,34.34,30.61,27.53,26.88,32.12,29.12,39.87,28.19,34.45,,,,,,,,,,,,40.10,30.26,22.53,30.74,23.79,29.12,25.93,32.53,25.12,37.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1940s sheet has no readings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The readings for 1951 and 1952 are the same as those for the Scaling site, about 6 miles to the west.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# It is not clear whether these readings originated from Mulgrave Castle or from Scaling; they have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
