FELIXKIRK - MOUNT ST JOHN - NO. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE474848,Long,-1.274,Lat,54.257,Elevation,540,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,0.82,3.04,3.98,3.31,2.20,2.64,2.04,2.82,1.93,1.69,2.68,1.16,2.03,1.44,3.19,1.66,2.61,5.05,3.25,2.38,3.38,3.62,4.37,1.70,4.07,2.18,5.13,3.22,2.27,3.19,2.34,3.50,2.97,0.81,3.50,3.78,0.46,4.38,2.02,0.68,3.40,4.52,5.93,1.71,2.42,4.50,2.63,1.63,1.69,0.91,4.29,3.99
December,3.86,2.86,4.24,1.10,2.01,5.10,4.92,2.02,1.75,3.69,3.19,3.56,2.11,3.51,2.95,3.49,2.81,1.04,1.98,1.56,4.51,2.78,1.38,1.14,0.99,5.31,2.71,1.76,5.06,4.46,1.93,2.32,0.53,2.33,1.13,1.91,1.68,2.69,2.17,2.43,2.28,3.07,2.48,1.57,1.21,2.19,2.51,2.03,2.21,2.82,3.65,3.15
Total,26.89,26.73,26.76,35.40,22.79,26.58,27.25,27.25,27.88,29.34,28.89,28.75,19.39,28.21,29.98,31.08,28.65,28.39,36.07,28.21,25.55,38.70,36.81,28.27,28.78,28.96,34.41,31.77,29.65,30.76,30.43,27.41,27.67,25.74,23.76,30.66,26.32,29.17,25.38,26.64,20.73,30.58,35.90,25.08,25.70,34.48,22.00,34.58,27.89,31.52,20.77,35.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# There were multiple gauges running in parallel at Mount St. John, and the rainfall sheet headings are confusing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Consequently the linkage of rainfall sheets into sequences presented here may not be completely correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2001 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
