RILLINGTON SCAMPSTON HALL (Gardens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE864757,Long,-0.678,Lat,54.170,Elevation,101,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,2.70,,2.14,1.51,1.03,2.74,4.25,3.58,2.07,3.05,2.32,3.69,1.90,1.48,2.76,0.84,1.94,1.36,3.68,1.71,3.47,3.74,4.12,2.98,3.69,3.70,2.71,1.46,2.55,2.11,4.10,2.48,2.26,2.87,2.82,3.48,3.03,0.81,3.05,3.86,1.54,5.30,1.85,0.78,4.31,4.46,5.29,3.32,2.26,4.64,1.26,1.61,2.54,0.89,3.72,3.79
December,0.40,,3.64,2.08,5.02,2.70,5.23,1.57,1.98,5.48,4.93,3.27,2.00,3.32,3.21,3.11,2.06,3.04,3.54,2.72,4.19,1.10,2.69,2.18,5.39,2.15,1.35,1.11,0.77,3.69,2.28,1.83,4.55,4.21,1.90,2.47,0.45,2.11,1.23,2.15,1.46,3.15,1.83,2.11,2.01,3.35,2.44,2.17,1.04,2.22,3.73,2.78,2.33,3.37,3.68,3.22
Total,17.73,,24.34,22.87,29.83,27.76,29.35,35.55,23.54,30.55,28.52,31.02,27.70,27.16,28.25,27.79,20.53,28.44,31.60,30.03,29.26,28.33,35.47,30.74,24.77,34.09,31.79,24.97,26.93,24.38,30.02,29.40,32.44,29.15,27.69,27.45,26.65,21.53,23.94,30.08,25.09,31.73,21.82,24.17,19.63,30.22,31.13,25.58,21.25,27.81,21.05,31.98,26.50,31.52,19.99,32.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The 1917 total is shown in brackets on the sheet, and has been retained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The readings for the year may have been received late, as there is no entry in British Rainfall for the site in 1917.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2013 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
