LINCOLN - BOULTHAM PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK967694,Long,-0.553,Lat,53.213,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2556/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
November,4.01,2.75,1.87,3.27,1.27,2.54,2.46,2.67,2.87,1.46,2.97,2.24,1.99,3.04,0.32,3.15,3.65,1.29,2.29,2.21,3.20,1.67,2.16,2.17,1.15,2.39,2.62,1.86,1.93,0.97,2.35,2.41,2.06,1.08,0.12,2.79,2.09,2.49,1.92,1.71,2.34,1.93,1.29,1.83,1.90,0.60,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,1.23,0.84,2.37,0.87
December,0.89,4.75,1.49,1.56,0.55,2.13,2.79,3.73,1.26,1.65,1.05,4.09,1.08,2.07,1.65,0.57,3.25,0.66,1.89,2.01,2.24,4.08,2.38,2.38,2.54,3.76,5.61,1.85,0.91,1.94,0.46,2.14,1.77,1.27,4.07,2.90,3.49,1.64,0.73,4.07,4.72,2.19,1.32,3.47,3.05,2.27,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,1.46,1.41,1.53,2.86
Total,22.54,28.09,26.18,28.58,25.06,29.78,25.69,37.45,32.47,17.40,28.66,29.78,18.33,24.38,30.69,21.31,29.86,28.90,18.81,25.53,24.50,27.79,26.15,21.13,22.48,30.56,24.76,22.59,32.42,22.02,,22.01,23.46,19.15,24.53,21.97,17.87,26.75,,19.51,25.28,25.96,21.88,20.60,25.52,26.36,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.55,17.81,23.60,22.07,26.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Readings for January, February, July, August and September 1905 are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for April - July 1913 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
