HACKTHORN HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK992825,Long,-0.512,Lat,53.330,Elevation,105,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,2.01,2.23,2.13,2.15,1.44,2.10,1.91,0.66,1.52,1.10,2.22,1.33,2.31,2.17,2.40,2.52,4.45,2.86,2.68,1.53,1.92,2.17,4.16,2.38,1.54,2.85,4.08,4.54,3.18,1.91,1.72,4.27,0.53,4.87,1.45,1.18,3.34,4.76,4.59,2.55,1.45,4.67,1.36,0.98,2.47,0.99,2.27,3.40
December,0.75,3.98,4.60,2.21,0.73,3.46,3.32,2.02,1.61,3.63,2.34,1.50,1.32,0.66,2.46,1.42,3.88,1.95,1.15,0.83,0.45,4.20,2.88,1.41,2.69,4.13,1.84,2.27,0.37,1.92,0.81,1.14,1.43,2.50,1.95,3.17,1.71,1.84,1.60,1.73,1.26,2.98,1.87,1.29,1.89,3.08,3.51,3.45
Total,18.43,20.10,25.17,26.20,22.56,23.05,26.49,25.46,14.06,25.65,27.73,22.61,19.24,21.58,26.01,24.39,20.74,29.92,30.41,23.28,21.14,21.26,26.03,26.94,26.25,25.26,28.38,25.47,24.65,22.70,20.08,26.81,20.47,29.82,18.10,26.20,22.82,32.45,30.89,23.75,21.76,32.03,21.54,26.83,25.27,29.67,17.95,32.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2001 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
