GATE BURTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK841833,Long,-0.738,Lat,53.340,Elevation,96,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
November,2.11,2.50,0.78,2.11,2.53,2.41,2.30,0.86,1.43,1.09,1.54,1.01,3.52,1.61,2.15,3.97,3.30,1.47,2.81,1.27,2.35,1.83,2.70,2.43,1.00,2.73,1.30,1.60,2.98,0.44,2.82,2.60,0.88,2.21,1.64,3.17,1.27,1.92,2.14,1.06,2.19,2.50,2.10
December,2.39,1.29,1.29,1.46,1.55,0.65,1.52,2.00,5.76,3.63,2.77,1.84,2.74,0.10,0.88,0.77,4.76,1.62,1.67,0.42,2.53,1.98,4.09,0.75,1.24,0.91,2.89,1.07,1.83,1.38,0.59,2.52,0.40,2.37,1.40,1.94,3.04,1.93,1.87,2.58,2.07,4.70,1.86
Total,,21.24,23.53,18.63,18.99,23.84,25.47,23.99,23.85,28.24,19.40,22.46,31.85,18.19,17.38,26.18,27.03,27.95,25.80,24.16,30.49,23.61,30.99,28.74,17.00,24.29,25.70,15.84,20.98,24.88,18.20,24.62,22.25,19.30,20.51,24.65,22.53,23.19,18.23,21.42,29.46,24.72,23.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The Hutton family lived at Gate Burton Hall, and were directors of MS&LR and Great Central Railway, hence Gate Burton being an MS&LR rain gauge site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IDR 1873 Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
