COTTINGHAM WATERWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA048342,Long,-0.411,Lat,53.794,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934
November,1.34,2.59,1.48,2.11,1.02,1.93,2.22,1.25,2.67,3.20,1.22,1.57,1.33,2.29,3.15,1.99,1.07,0.66,3.08,3.45,2.98,1.97,2.33,2.46,2.59,1.41,1.24,2.36,0.64,1.96,1.77,2.58,1.41,2.39,2.80,2.32,2.38,3.80,3.60,2.91,1.70,3.16,2.18
December,1.02,2.19,2.55,2.60,3.04,2.53,1.90,2.34,3.04,4.09,2.26,0.95,1.22,0.55,1.79,2.66,1.41,4.56,2.74,3.05,1.96,1.26,4.66,4.97,2.40,1.30,3.06,3.35,2.68,2.27,1.96,2.63,1.90,3.14,0.65,2.58,1.62,4.20,1.55,1.18,1.15,0.42,3.68
Total,24.28,18.76,26.41,28.90,25.06,24.71,21.25,21.88,26.30,22.78,20.46,27.49,19.89,17.62,21.87,25.01,18.60,29.40,23.36,24.68,33.45,19.99,21.77,26.29,27.27,23.52,22.64,26.14,24.82,16.35,26.62,25.73,24.76,23.04,23.66,27.79,26.87,20.44,27.23,29.98,23.11,25.70,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The February 1934 figure is shown as an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The rain gauge is marked on the 1910 OS 25 inch map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The location fits well with the church/station directions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The latitide and longitude on some of the rainfall sheets do not tie in at all (by about 10km).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
