INGLEBY GREENHOW VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ583064,Long,-1.102,Lat,54.450,Elevation,448,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927
November,,2.77,2.09,3.31,3.45,4.75,1.34,5.14,3.68,1.31,5.41,1.49,2.76,2.99,2.52,4.18,2.20,3.40,4.84,1.18,2.47,,,,,,1.88,3.70,5.17,3.59,1.72,3.78,3.35,4.37,2.63,1.86,4.24,1.00,2.54,1.26,5.20,1.63,3.67,5.70,3.47
December,2.13,2.43,1.35,6.63,4.25,2.04,2.43,2.10,2.94,1.37,2.90,2.12,2.02,4.55,2.78,1.77,3.23,2.28,4.89,2.82,1.32,,,,,,4.23,3.17,6.28,1.44,1.93,6.77,5.33,3.13,1.87,3.27,4.42,3.03,2.23,5.50,3.23,3.95,3.85,1.71,2.45
Total,,26.95,33.54,39.64,29.74,28.55,30.55,30.61,34.18,30.48,27.38,28.89,32.64,32.93,28.82,27.31,31.08,38.02,31.18,24.71,38.24,,,,,,,34.18,34.49,38.65,26.82,37.81,34.02,35.11,33.11,30.47,38.46,32.54,25.13,37.15,35.60,33.48,34.89,32.31,38.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The initial record for this site ended in July 1904, after which the gauge moved to the School House site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1900s rainfall sheet is shared with the School House site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Readings at the vicarage begin again in June 1909, using a new gauge and a new 1900s rainfall sheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
