SPRINKLING-TARN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,NY227091 ,Long ,-3.194278,Lat ,54.471354,Elevation ,1986,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November ,,,,,,,9.4,22.64,11.44,-999,-999,,,6.11,,,,,,,,,,,11.61,12.2,17.16,-999,7.73,-999,6.73,,14.45,9.48,,,9,22.9,-999,-999,-999,-999,12.2,16.55,-999,-999,14.7,5.62,18.9,-999,-999,12.65,18.06,-999,15.55,-999,5.7,20.5,12.75,15,11.1,17.5,10.8,-999,15.2,14.85,15.05,,10.35,6.8,8.3,17.9,,13.25,27.15,6.5,-999,23.45,17.5,11,10,7.5,7.5,21,17,,-999,,33.65,27.4,17.75,28.26,13.5,4,7,14.25,19,5,22.25,30.25,16,11.5,5.25,13,28.25,2,23,32,21.5,27.25,16.5,35.25,,33.5,32,7,8.5,6,,18,24
December ,,,,,,,6.5,13.15,16.4,-999,-999,11.32,40.62,0.47,,,,,,,,,,,20.24,9.27,16.44,-999,17.76,-999,4.65,,10.92,10.72,7.7,,15,14.44,-999,-999,11.5,8.1,14.6,11.1,-999,-999,8.15,7.05,22.4,-999,-999,17.6,8.5,-999,17.77,14.2,17.75,22.5,15,3.6,22.75,12.5,15.75,-999,16.3,13.7,10.8,,11.75,18.2,20.8,,,16.25,22.9,23.15,11,14,20.25,24.25,12,22,17,13.3,25,,5,,,23.76,15.25,20,29.5,,24,8.75,23,7,12.5,6.5,19.5,14,27.5,8.25,16.75,12.25,15.25,14,16.5,34.75,9.5,31.25,,13.25,23,23.25,27.75,24.5,12.5,30,14.5
Total ,,,,,,,,114.01,135.44,110.68,138.52,,,,,,,,,,,,,,119.52,103.84,139.36,117.6,126.81,126.95,,,170.33,,,,,116.53,86.67,102.53,109.39,106.81,150.31,111.88,114.06,,107.4,71.41,147.15,116.08,157,136.6,141.18,129.1,141.89,104.3,119.32,137.25,147.3,113.05,128.4,113.85,98.8,189.3,140.45,143.7,142.7,,,100.1,116.1,,,129.32,146.67,116.14,170.82,129.7,166.1,118.2,170.8,131.7,131.52,170,162.75,,142.2,,,,,166.06,,,181,171.25,,129.8,194.15,149.05,134.8,123,,180,181.75,,186.75,141.5,208.75,199.75,220.75,218,,,257,,153,171.3,,141.8,141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On this record, some months show frozen but are not bracketed with the following month. I have assumed that the following month did contain the fall of both months. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847 Jan-May -999 ,1864 Feb-Apr -999 ,,,,,1878 Nov-Dec -999 (7.32) ,,,,1884 Nov-Dec -999 (19.65) ,,,,,1891 Mar-Apr -999 (11.10) ,,,,1898 Feb-Mar -999 (21.55) ,,,,,1906 Feb-Mar -999 (17.85) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848 Jan Feb -999 ,1865 Jan-Feb -999 (gauge frozen Jan) ,,,,,1879 Jan-Mar -999 (5.65) ,,,,1885 Aug estimated (Gauge tampered with) ,,,,,1892 Feb-Apr -999 (7.54) ,,,,1899 Jan-Feb -999 (23.90) ,,,,,1908 snow estimate removed as unclear if it covers 1 month or Nov-Jan ,,,,,,,,1918 Feb-Mar -999 (22.00) ,,,,,1932 Jan estimated ,,,,1960 May estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849 Jan-Mar -999 ,1866 Jan-Feb -999 (gauge frozen Feb) ,,,,,1879 Nov-Dec -999 (13.00) ,,,,1885 Oct-Dec -999 (15.40) ,,,,,1893 Jan-Mar -999 (22.10) ,,,,1900 Jan-Mar -999 (20.45) ,,,,,1908 Feb-Mar -999 (11.25) ,,,,,,,,1918 Jun-Jul -999 (16.00) ,,,,,1933 Dec estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849 Nov-Dec-999 ,1867 Nov-Dec -999 (27.21) ,,,,,1880 Jan-Feb -999 (17.40) ,,,,1886 Jan-Apr -999 (21.15) ,,,,,1893 Nov-Dec -999 (32.50) ,,,,1901 Jan-Feb -999 (12.20) ,,,,,1910 Jan-Mar -999 (32.10) ,,,,,,,,1919 Jan-Apr -999 (33.00) ,,,,,1936 Feb-Mar estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850 Mar-Apr -999 ,1869 Mar-Apr -999 (gauge frozen Mar) ,,,,,1880 Oct-Nov -999 (16.60) ,,,,1887 Feb-Mar -999 (0.30) ,,,,,1894 Jan-Feb -999 (36.00) ,,,,1901 Mar-Apr -999 (13.05) ,,,,,1911 Jan-Feb -999 (25.60) ,,,,,,,,1922 Jan-Feb -999 (28.22) ,,,,,1942 Jan-Mar estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850 Nov-Dec-999 ,1869 Nov-Dec -999 (27.21) ,,,,,1881 Feb-Mar -999 (15.70) ,,,,1888 Jan-Apr -999 (19.35) ,,,,,1895 Jan-Mar -999 (16.00) ,,,,1902 Jan-Feb -999 (13.20) ,,,,,1911 Dec est (lost) ,,,,,,,,1922 Mar-Apr -999 (11.50) ,,,,,1945 Jan Feb Aug Sep estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851 T removed incomplete yr ,1870 Jan-Mar -999 (gauge frozen Feb&Mar) (10.90) ,,,,,1881 Oct-Nov -999 (18.10) ,,,,1889 Feb-Mar -999 (16.50) ,,,,,1895 Oct-Nov -999 (25.00) ,,,,1903 Nov-Dec -999 (24.60) ,,,,,1916 Mar-Apr -999 (15.05) ,,,,,,,,1925 Feb Mar Oct Nov Dec estimated ,,,,,1952 whole year estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852 T removed incomplete yr ,1877 Jan-Mar -999 ,,,,,1882 Jan-Feb -999 (24.50) ,,,,1889 Nov-Dec -999 (22.25) ,,,,,1897 Jan-Feb -999 (13.35) ,,,,***1904 Jan contains some thaw from Dec 1903 ,,,,,1916 Oct-Nov -999 (51.15) ,,,,,,,,1926 Oct-Nov -999 (30.10) ,,,,,1953 Apr-May estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853 T removed incomplete yr ,1878 Jan-Feb -999 (18.40) ,,,,,1883 Jan-Mar -999 (12.25) ,,,,1890 Jan-Mar -999 (42.10) ,,,,,1897 Mar-Apr -999 (20.10) ,,,,1904 Feb-Mar -999 (20.50) ,,,,,1917 Jan-Apr -999 (15.00) ,,,,,,,,1930 Jan Feb estimated ,,,,,1955 May estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1878 Mar-Apr -999 (13.30) ,,,,,1884 Feb-Mar -999 (16.00) ,,,,1890 Nov-Dec -999 (23.30) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
