HEST BANK LANCASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD473664,Long,-2.807,Lat,54.0916,Elevation,58,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
November,,,,,,,,,2.97,4.02,4.63,0.96,6.4,1.51,1.89,1.83,1.25,1.75,1.92,2.62,2.79,6.77,1.92,4.4,3.88,2.9,5.88,2.23,2.7,6.65,2.88,1.51,4.03,1.68,3.32,5,,,,1.1,4.73,5.34,5.78,5.06,1.65,3.43,4.36,2.85,3.7,1.61,5.2,4.3,2.87,1.41,3.73,2.97,1.6,,,
December,,,,,,,,,4.6,1.43,2.48,2.4,9.14,0.11,5,1.2,4.18,2.58,3.26,2.65,3.03,2.63,3.92,3.16,4.25,2.05,5.23,3.22,8.48,4.45,2.23,4.05,4.88,1.57,3.05,2.32,,,,2.16,6.17,3.7,3.07,2.5,4.4,1.48,5.14,2.41,3.22,3.17,0.59,5.3,2.35,3.21,3.37,3.2,4.68,,,
Total,,,,,,,,,43.64,32.58,39.72,34.1,48.21,29.76,32.53,24.1,30.5,28.7,29.91,31.68,30.13,38.41,43.27,44.53,35.41,31.24,46.66,32.07,37.15,39.65,33.34,36.17,53.68,31.97,,34.71,,,,32.63,35.04,43.39,44.39,36.85,36.58,32.27,45.45,23.85,31.05,32.09,37.4,38.05,37.49,31.02,33.64,32.26,34.41,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1-page-065.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data used from the two following sheets for 1850 decade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1-page-156.csv Jan 1850-Jan 1856 with Feb/Mar/April bracketed at 5.95 but not transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856 total calc from the two sheets including the bracketed values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1850-1859_F_pt1-page-155.csv May 1856-end of decade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug/Sept bracketed and = 6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data used from the two following sheets for 1860 decade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt3-page-093.csv observer died and another took over with a different gauge. The two results for the overlapping so simlar that record notes second TYR used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1860-1869_04_pt3-page-094.csv - the new observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861 Sep/Oct bracketed = 7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 June/July bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 Aug/Sept bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"observer throughout Thomas Ransome, manufacturing chemist of Hest Bank, Slyne Village.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR: based on observer location and elevation,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
