LITTLEBOROUGH (BLACKSTONE EDGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD966182,Long,-2.052925,Lat,53.660277,Elevation,1268,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,,,,11.55,,,1.73,,,3,1.39,4.1,2.1,,5.53,5.48,1.2,2.8,4.84,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,1.4,4.1,3.2,3.3,1.1,5.1,3.6,3.6,6,4.4,5.6,2.6,2,3.7,5.4,6.3,4.5,1.2,3.2,2.1,2.1,6.6,1.7,5.1,3.5,2.5,3.2,5,3,1.5,4.6,2.6,1.1,3.5,6.5,2.7,2.2,2,3.3,3.8,3.18,1.83,0.85,4.56,3.89,1.9,4.4,6.03,,2.45,2.22,1.6,3.09,2.25,2.42,2.83,,3.11,2.77,6.48,6.05,8.35,8.07,6.3,8.32,3.57,2.3,2.51,6.76,6.18,2.35,6.85,8.06,8.1,3.54,1.53,4.02,8.28,0.82,8.75,8.22,2.67,7.37,6.17,10.6,3.2,6.46,7.89,3.29,1.95,3.12,1.94,3.41,5.63
December,,,,11.58,,,3.39,,,2.1,4.6,6,2,,6.83,2.43,2,5.48,4.97,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.1,7.9,5,2.3,2.6,3.1,1,3,1.9,8.3,4.3,1.8,2.2,8.2,3.4,3.7,3.8,4.8,1.7,4,4.2,2.6,2.3,0.8,6.3,2.4,3.9,3.8,4.1,4.9,5.9,5.7,2.6,6,3.7,3.1,1.7,2.1,0.6,2,3.13,2.04,5.1,3.51,4.94,4.37,1.7,5.89,-999,2.19,1.55,5.53,5.85,3.56,4.19,4.39,,6.05,4.6,2.31,1.27,3.27,8.34,3.9,2.25,2.45,0.6,6,3.06,4.29,4.71,5.06,3.53,4.07,2.6,4.38,2.74,4.77,3.63,4.17,4.59,4.78,8.39,2.9,9.11,4.57,2.61,7.9,7.72,4.95,5.92,4.13,6.19,3.48
Total,,,,,,,32.29,,,28.62,27.91,32.85,33.74,35.68,38.19,30.92,19.69,30.93,39.27,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,37.6,36.1,39,34.1,36.4,53.5,31.6,36.6,43.6,46.5,55.5,36.9,37.7,53.5,50,54.1,42.4,33.5,40.3,40.4,24.5,31.4,33.7,32.7,38.2,35.6,31.2,44.4,34.6,35.6,41.2,39.1,36.7,43.1,,30.9,43.1,25.7,25.4,31.1,34.49,29.15,34.6,33.37,29.8,43.18,30.36,35.76,36.94,34.9,27.6,33.54,30.83,41.46,32.2,34.57,,49.95,46.72,48.56,54.11,58.48,44.72,57.28,54.79,42.12,32.33,41.38,51.01,45.36,42.41,57.1,51.01,43.47,41.41,40.56,49.16,55.5,46.52,60.42,44.53,47.98,50.17,52.6,59.11,47.17,47.07,68.89,41.15,58.2,56.4,57.61,29.91,40.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810s three TYRs each with 1 year's worth of data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 June-Aug gauge out of order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Jan/Feb bracketed = 5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Mar/April bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Feb-Apr bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Jan-Apr bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Jan-Mar bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
