THE STYE (Main Stye C Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY231107,Long,-3.189,Lat,54.486,Elevation,1077,ft,,,,,,,,,,,,,,,,,,,,,,,
Total,160.30,197.39,208.45,164.75,174.75,164.21,,221.05,176.85,,,,,,184.90,203.15,193.86,156.53,180.65,135.89,199.95,157.60,209.60,133.95,,184.75,166.87,238.01,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_18_pt1/200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_23_pt1/173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING_TYRain_1910-1919_MAIN_STYE_C/000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_25_pt1/037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The rainfall sheet for this gauge for 1910-1919 is missing from the Met Office archive volumes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Annual totals (possibly estimates) for 1910-1919 have been taken from British Rainfall almanacs for these years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Aggregated periods are:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Jan-Feb 1897: 22.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Jan-Feb 1899: 34.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Jan-Feb 1901: 18.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mar-Apr 1901: 21.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nov-Dec 1903: 29.55 minus 0.75 allocated to early January 1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Feb-Mar 1904: 33.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Feb-Mar 1908: 26.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mar-Apr 1922: 15.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Oct-Nov 1926: 37.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Some readings are shown bracketed without explanation, and have been omitted as likely estimates from other sites:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dec 1905 omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Jan 1906 omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dec 1906 omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Jan, Feb 1907 omitted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dec 1907 omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Jan 1908 omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Feb, Mar 1909 omitted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Jan 1920 omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Feb, Mar 1924 omitted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Nov, Dec 1925 omitted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dec 1926 omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
