READING UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU739719,Long,-0.9379,Lat,51.4414,Elevation,234,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
December,3.071,2.114,1.213,1.051,2.976,2.083,1.201,1.039,3.055,2.748,5.488,3.358,1.472,3.346,2.563,2.256,2.374,3.614,2.744,0.803,0.39,5.933,2.386,0.484,1.882,3.457,3.28,3.594,0.646,2.228,2.079,4.004,3.776,0.98,4.665,2.437,1.677,2.047,2.972,1.795,1.252,3.937,0.815,2.909,4.425,4.173,1.638,2.205,0.524,3.063,2.965,3.744,2.902
Total,30.314,21.859,29.194,25.574,21.98,20.222,31.374,22.894,21.936,27.272,24.668,26.236,25.256,28.354,27.539,22.087,25.594,25.14,25.201,24.123,23.197,23.319,18.228,20.681,27.012,25.048,24.287,24.48,19.232,20.014,29.097,30.166,33.539,27.634,31.09,20.181,26.277,18.934,26.144,29.161,27.724,24.337,21.437,24.109,32.189,25.083,34.513,22.543,24.08,25.292,22.685,26.963,29.378
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from 1961 onwards comes from the University official records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.315,21.858,29.193,25.575,21.98,20.22,31.374,22.894,21.937,27.272,24.669,26.236,25.256,28.354,27.539,22.087,25.594,25.142,25.201,24.122,23.197,23.319,18.228,20.681,27.012,25.047,24.287,24.48,19.232,20.016,29.098,30.165,33.539,27.634,31.091,20.181,26.276,18.933,26.146,29.161,27.724,24.339,21.437,24.11,32.189,25.083,34.512,22.543,24.079,25.291,22.685,26.965,29.378
