WROOT SOUTH LEVEL PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE732017,Long,-0.898,Lat,53.507,Elevation,7,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,0.80,2.03,1.33,1.52,2.91,0.39,2.68,2.64,,,,2.33,,,,,,,,,,,,,,,,,1.49,1.46,1.75,1.92,2.01,0.95,1.49,1.52,1.09,1.43,0.80,2.16,1.27,1.69,2.20,2.04,2.48,3.74,2.98,2.52,1.14,1.80,2.35,4.31,2.65,1.53,2.12,4.17,5.72,3.01,1.61,1.72,3.61,,,0.98,1.01,2.86,3.48,4.70,1.66,1.10,4.15,1.24,0.58,2.13,0.81,2.52,3.30
December,1.50,0.95,3.60,0.74,1.81,1.08,0.55,2.86,,,,2.14,,,,,,,,,,,,,,,,,2.19,1.21,3.58,4.55,1.91,0.75,2.97,3.14,1.96,1.82,2.85,2.27,1.72,1.58,0.58,1.88,1.52,3.38,1.45,0.83,0.88,0.27,3.36,2.40,1.17,4.88,3.17,2.83,2.68,0.13,1.58,0.68,1.54,,,2.29,2.65,1.58,1.28,1.05,1.40,1.18,2.04,1.96,1.51,1.77,2.79,2.50,2.13
Total,15.09,21.13,25.74,15.23,22.56,22.68,21.05,24.14,,,,23.68,,,,,,,,,,,,,,,,,26.43,17.57,19.07,21.27,19.04,17.72,22.62,23.15,24.37,14.04,23.64,25.00,21.74,21.11,20.45,23.01,22.11,18.85,26.40,27.58,21.43,22.00,19.24,26.33,29.24,31.45,23.72,27.79,26.27,21.84,19.71,20.38,30.70,,,19.63,21.61,19.10,24.29,25.84,17.44,15.97,27.13,18.19,24.23,23.62,28.78,14.40,26.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Bracketed October 1945 -April 1946 figures omitted. The gauge was broken, values were estimated based on Crowle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Bracketed October-December 1946 figures omitted. No reason given on sheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1983 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
