SOWERBY - THE OLD HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE432812,Long,-1.339,Lat,54.225,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
December,1.15,2.08,4.65,4.50,1.79,1.77,3.34,3.32,3.57,2.22,3.08,2.46,3.15,2.58,0.77,2.06,1.39,4.30,2.42,1.18,0.88,0.92,4.72,2.69,1.80,4.05,4.49,1.81,2.12,0.44,2.29,1.25,2.22,1.71,2.50,1.69,2.39,2.10,2.30,2.33,1.48,1.31,2.03,2.28,1.79,2.26,2.08,3.15,2.93
Total,34.06,22.26,24.02,26.42,24.16,24.75,29.12,26.26,26.08,17.92,26.92,28.02,28.73,26.79,26.35,33.27,27.18,23.84,32.93,34.75,23.50,,26.33,32.94,29.60,27.74,28.08,30.28,25.77,23.21,23.51,22.90,31.13,27.45,31.03,22.76,26.33,19.84,26.59,34.22,22.17,22.85,31.78,19.62,30.54,26.33,25.06,19.30,31.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Totals for 1910 and 1911, before monthly readings began, have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The March 1933 figure is shown bracketed and has been adjusted from other sites, and has been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The March 1936 total is shown bracketed and noted as inaccurate, although none of the monthly figures are bracketed. It has been retained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The Old House is now 27 Front Street.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1961 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
