MAUNBY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE355863,Long,-1.456,Lat,54.271,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
November,1.55,4.40,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,2.88,3.22,1.56,1.40,1.93,1.22,2.17,0.98,1.28,2.61,1.07,2.35,1.01,2.64,1.55,1.12,4.64,1.55,2.66,3.15,3.00,3.64,1.28,2.70,1.57,3.73,2.90,2.21,3.20,2.38,3.21,2.90,0.90,2.10,3.66,0.33,4.18,1.67,0.78,3.29,4.02,5.41,1.75,1.89,4.79,2.83,0.87,1.42,0.77,3.79
December,1.85,1.69,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80,2.21,4.47,1.04,1.00,4.06,4.34,1.27,1.41,3.05,3.74,3.03,2.30,3.24,3.66,2.53,2.89,0.83,1.96,1.26,4.63,2.62,1.04,0.86,0.65,5.00,2.45,1.85,4.04,4.08,1.60,1.68,0.44,1.65,1.05,2.01,1.28,2.38,1.71,2.73,1.97,2.15,2.42,1.89,1.45,2.14,,2.80,2.61,2.90,3.70
Total,28.07,27.22,21.46,,,,,,,,,,,,,,,,,,,,,,,,,,,24.18,25.89,23.32,25.97,24.85,21.55,28.28,18.41,19.92,22.42,23.64,27.18,25.96,26.41,27.12,20.20,29.04,28.24,31.05,26.72,26.37,31.82,26.15,22.39,33.14,34.38,23.96,24.17,25.81,29.11,29.27,27.65,29.62,26.77,24.22,,21.97,21.61,27.41,23.46,30.29,22.62,25.84,19.81,27.11,34.39,23.20,22.00,30.35,,37.10,28.83,27.95,21.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# For 1908, there are just two monthly readings and an annual total. The monthly values have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The figure for February 1924 includes estimates for 5 days and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The figure for July 1941 was calculated and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Figures for February, March and December 1955 are estimated and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# All figures for 1960 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1966 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
