BALDERSDALE - AYGILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY886169,Long,-2.178,Lat,54.547,Elevation,1250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings which are identified as estimates and have been omitted:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - September 1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# - January, February and October 1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-March 1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-March 1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - February 1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - May-June 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1969 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
