SLEIGHTS - THE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ866071,Long,-0.666,Lat,54.452,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
TYRain_1951-1960_22_pt1/053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for July 1934 is shown as an estimate on the sheet and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for February and March 1947 are part-estimated for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for April and May 1952 are shown as estimates on the sheet and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for September 1953 is shown as an estimate on the sheet and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January to March 1954 are shown as estimates on the sheet and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved from Sleights Hall to Hall Cottage in 1952. Hall Cottage has not been located but is presumably close to the Hall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The grid reference shown on the 1950s sheet seems to have a mistake in it - the northing part is a kilometre too far south.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
