KILDALE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ610095,Long,-1.060,Lat,54.477,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,2.08,2.89,6.91,5.14,3.13,1.56,2.18,4.08,5.64,4.01,1.86,3.96,4.09,4.93,2.59,1.96,4.53,0.76,2.97,1.99,5.73,1.85,5.11,5.81,5.46,3.28,3.67,4.85,2.87,1.52,4.98,3.25,5.38,3.64,3.92,3.58,2.39,4.66,3.13,1.83,4.82,6.07,1.93,6.77,2.67,1.17,6.56,8.23,6.68,5.00,2.15,6.75,2.80,2.34,3.53,1.18,5.76,4.65
December,2.44,3.04,0.57,2.71,4.18,1.35,4.47,3.48,5.71,1.33,2.30,6.86,5.72,3.39,2.59,3.85,4.42,3.20,2.33,5.66,3.77,4.47,4.69,2.24,2.62,2.01,5.03,3.09,1.34,1.59,1.85,4.56,2.81,2.08,7.14,5.17,2.19,3.41,0.75,2.55,1.87,1.86,2.00,4.75,3.05,3.64,2.66,3.69,3.56,2.71,1.27,2.81,4.10,2.70,2.74,4.12,6.11,4.28
Total,,30.81,29.69,34.46,32.19,26.50,39.52,36.51,35.07,40.01,29.53,41.60,37.45,39.23,36.48,32.76,44.06,34.99,26.88,40.55,40.32,,42.77,35.17,43.84,36.15,29.11,49.04,40.97,36.95,35.66,33.02,36.45,40.89,40.65,35.19,40.93,38.22,32.93,30.91,27.36,38.08,31.87,37.29,35.15,34.64,24.97,40.15,46.74,36.58,25.45,41.58,28.81,37.53,33.49,34.37,29.08,47.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The March 1924 figure is bracketed without explanation, and has been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The figure for February 1947 is estimated for snow and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1972 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
