INGLEBY MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ587058,Long,-1.096,Lat,54.444,Elevation,440,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956
November,2.78,2.39,3.27,3.74,5.69,1.34,5.15,4.72,1.50,4.75,1.68,3.08,3.31,2.76,5.31,2.19,3.71,5.15,1.69,2.83,2.50,7.50,4.68,3.41,1.81,1.79,3.89,5.20,3.18,2.03,4.17,3.33,4.90,2.42,1.86,4.02,0.83,2.32,1.44,5.09,1.74,4.16,6.40,4.45,3.14,3.46,5.03,3.89,1.35,4.90,2.82,5.04,3.20,3.21,3.36,2.16,4.29,2.55,1.64,3.02,4.45,1.17,5.92,2.61,0.88,5.60,,,,,5.64,2.74,1.86
December,2.57,1.19,6.38,4.02,2.32,2.95,2.47,3.49,1.47,3.19,1.79,2.55,5.53,3.48,2.00,3.78,2.63,5.96,3.47,1.92,3.21,0.50,2.67,4.12,1.94,4.67,3.53,6.74,1.37,1.85,7.85,6.05,3.24,1.91,3.60,4.77,3.21,1.85,5.56,3.52,4.12,3.98,1.57,2.78,2.16,6.61,3.40,1.36,1.75,1.69,5.30,2.84,2.24,6.47,5.19,1.79,3.10,0.55,2.64,1.27,1.52,1.08,3.89,1.67,3.60,2.58,,,,,2.91,3.54,3.54
Total,26.84,33.87,41.02,30.08,31.41,34.94,31.43,36.83,33.04,29.04,32.29,34.48,35.62,32.37,31.31,33.71,40.37,33.81,27.29,41.66,31.18,28.68,32.77,29.28,26.85,36.53,33.67,33.29,37.24,26.90,38.24,35.11,35.09,33.20,29.84,39.63,31.18,22.47,34.23,35.61,33.00,35.75,31.34,38.43,32.02,28.26,47.53,38.18,31.92,30.49,32.92,33.13,32.83,36.21,29.67,34.50,32.10,31.60,24.95,21.90,29.44,24.83,30.30,,29.40,21.33,,,,,41.89,25.82,35.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Annual totals for 1881-1883 are estimates for the years before the gauge came into use, and have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The February 1933 figure is adjusted for snow, and has been retained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to a short-lived site just outside Ingleby Greenhow at the end of 1956.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
