TORRINGTON-ENFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS489191,Long,-4.1515,Lat,50.9518,Elevation,336,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
November,5.6,1.64,4.67,3.31,3.96,5.52,3.97,3.36,1.69,2.07,6.68,5.49,2.91,,4.7,3.48,4.41,2.94,3.48,4.47,3.1,2.86,2.26,4.29,3.31,4.42,9.45,4.29,4.27,9.46,4.31,6.51,2.69,1.3,2.48,5.14,4.5,1.97,5.63,8.36,8.33,2.41,1.47,
December,7,6.96,3.87,4.45,3.65,1.76,3.8,5.56,4.19,6.37,4.9,7.73,6.27,,7.45,10.03,3.39,1.32,6.5,7.64,4.38,3.32,6.65,4.62,5.47,5.57,0.88,3.11,5.07,7.66,5.44,2.2,2.27,2.03,8.22,4.14,4.04,4.14,3.75,2.91,3.49,3.52,4.61,
Total,43.07,33.09,34.49,52.06,38.09,33.84,38.9,36.53,29.96,37.16,46.58,39.05,48.07,,44.91,41.78,39.22,37.44,43.96,39.86,44.71,25.87,40.24,43.74,44.32,42.61,35.76,47.04,44.16,40.89,41.48,39.91,34.01,27.54,33.93,39.91,36.13,35.31,36.71,39.61,38.17,29.38,34.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House found on 1968 OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Missing months proportioned from Little Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 July 15th gauge moved 500ft W to Hillside - no change in altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is a note that despite the frequent moves the record was considered homogeneous.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
