DANBY LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ716083,Long,-0.897,Lat,54.465,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,3.24,1.99,1.82,4.88,6.23,3.86,2.06,4.66,4.47,5.89,2.33,1.57,4.50,0.83,2.45,2.15,6.49,1.89,4.97,6.47,6.28,3.39,4.84,5.96,3.10,1.60,4.60,3.64,5.93,3.82,4.86,3.63,3.10,4.94,3.45,2.02,5.48,6.81,2.89,7.90,3.31,,,,,5.22,2.18,6.88,2.98,3.49,3.33,1.36,5.71,4.78
December,4.58,1.99,4.55,3.44,6.99,1.19,2.23,7.16,7.14,3.89,2.32,3.78,4.79,3.77,2.00,5.18,4.08,4.82,5.41,2.31,3.24,2.21,5.70,3.97,1.66,2.12,1.49,5.48,3.14,2.70,7.12,4.87,1.99,4.39,1.09,2.78,2.28,3.09,2.79,5.39,2.78,,,,,3.08,1.55,2.81,4.55,2.89,2.50,4.47,6.64,4.27
Total,31.29,26.35,42.36,36.27,37.78,40.65,33.50,37.97,42.27,37.66,36.07,30.15,41.49,32.37,25.18,38.45,42.51,36.83,40.00,36.05,42.12,37.49,31.24,54.74,43.17,39.74,33.54,36.23,40.00,40.37,44.04,37.01,44.70,37.06,35.93,33.94,29.66,43.51,37.94,44.14,34.24,,,,,,30.85,41.17,30.23,,31.42,35.91,30.31,48.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The January 1956 figure is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The elevation of 500 ft is about 100 ft too high for Danby Lodge. Possibly the gauge was on the hillside to the north-west of Danby Lodge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
