GARSTANG BARNACRE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD528481,Long,-2.720278,Lat,53.926867,Elevation,617,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,
November,,,,,,,,,,1.08,6.56,5.75,6.1,5.05,1.96,4.1,4.2,3.35,5.4,2.3,7,5.28,3.85,2.75,4.7,3.55,1.72,6.05,4.87,3.36,4.7,4.62,2.77,4.09,4.15,5.16,3.52,4.99,4.34,2.14,5.15,5.38,5.59,5.42,6,2.34,4.33,6.07,3.61,2.77,2.6,2.9,3.42,7.31,2.88,2.57,7.44,5.84,7.9,8.08,6.22,9.11,3.92,2.77,1.8,5.01,5.22,2.22,6.05,6.21,5.51,2.68,1.14,3.84,6.9,0.29,6.71,5.41,3.3,6.26,5.47,9.01,2.33,5.93,7.59,2.58,2,1.68,2.89,6.22,9.77,,,,
December,,,,,,,,,,2.05,6,5.25,3.45,3.15,5.22,1.75,4.3,3.05,3.6,3.55,0.6,7.95,2.9,4.28,4.65,4.22,6.82,5.95,4.75,3.71,6.24,5.59,4.73,3.41,4.33,1.17,4.04,5.14,3.8,8.95,3.95,7.22,4.69,3.51,5.46,8.52,3.81,2.9,9.78,6.57,3.43,7.01,5.69,5.5,7.03,3.02,1.48,1.27,3.8,8.25,5.34,4.03,3.13,0.98,6.52,3.56,6.51,3.04,5.39,3.17,5.08,2.75,5.13,2.51,4.5,3.01,5.73,2.89,3.49,6.86,3.45,11.28,4.68,2.55,6.39,5.54,5.49,5.37,4.62,10.02,5.55,,,,
Total,,,,,,,,,,,45.36,54.09,55.49,47.44,43.58,40.78,51.75,32.55,37.78,41.35,50.3,50.28,47.46,42.85,48.24,39.35,46.8,48.44,43.77,43.47,47.48,35.35,36.54,57.69,42.27,37.24,48.57,52.5,47.44,50.08,47.39,45.4,53.83,41.42,43.94,44.85,50.17,49.14,57.2,44.79,49.83,42.83,49.42,59.67,50.37,44.51,49.84,55.19,64.98,51.08,52.89,54.88,48.77,35.01,47.91,50.69,48.2,36.12,54.09,40.28,43.26,36.75,45.1,53.21,52.63,43.27,51.25,39.49,48.02,46.63,55.72,58.81,47.42,45.86,70.92,36.61,50.68,53.93,52.87,47.11,57.32,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1919 – corrected input error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
