DARTMOOR-CRANMERE-POOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX604857,Long,-3.976204,Lat,50.654204,Elevation,1850,ft,,,,,,,,,,,,,,,,,,,,,,
Total,,86.8,58.6,78.4,,81.8,85.9,80.4,87.4,75.6,64.9,77.8,83.95,84.6,,109.4,,92.8,66.5,,92.1,,,99.27,70.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR taken from sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan records started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan part estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 15 June gauge moved 130 yrds WNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Feb Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941 Jan Feb apportioned by observer, value 16.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Nov Dec apportioned by MO ref to nearby stations – value 13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan Feb apportioned – value 10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Jan Feb part estimated – value 14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Jan Feb read on Mar 1st – value 23.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Aug Sept apportioned by observer- value 23.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan-Apr Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Mar Apr probably apportioned – value 10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949 Printed with query – Oct value in brackets, but no explanation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Mar Gauge damaged and leaking – been suspected for some time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Not printed as too much estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Nov and Dec apportioned by observer – total for 2 months 27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 July estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Apr part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1960 back records (incomplete),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
