WOOLSTHORPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK843353,Long,-0.748,Lat,52.909,Elevation,182,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,1.75,1.81,3.13,2.41,2.86,0.77,,,0.78,1.35,1.41,2.07,1.66,1.92,2.86,2.77,2.27,4.69,2.98,1.88,1.54,1.82,2.07,4.11,2.68,1.11,2.15,3.19,5.14,2.90,2.43,1.62,3.23,0.30,4.44,1.06,1.51,2.75,4.04,5.19,1.96,1.50,4.62,0.95,0.86,2.29,1.45,2.33,
December,3.19,0.75,4.23,4.50,2.48,0.45,,,2.01,1.18,2.78,2.69,2.37,1.83,0.81,2.53,1.60,4.03,2.43,0.73,0.62,0.28,4.12,2.45,1.39,2.62,3.96,1.26,1.33,0.37,1.50,0.74,1.05,1.81,2.86,1.89,3.26,1.28,1.21,1.42,1.87,0.80,2.22,1.44,2.00,2.10,2.85,3.19,
Total,30.72,21.41,24.31,27.05,26.35,20.44,,,23.35,14.73,28.35,24.99,26.05,21.46,21.90,26.93,21.75,20.55,25.90,25.85,26.77,19.48,20.15,24.33,25.86,27.33,23.08,27.94,22.44,28.73,22.17,17.13,25.99,19.45,29.53,19.05,25.07,23.08,24.08,28.93,21.15,18.08,30.94,21.22,23.90,22.71,28.49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The June and July 1959 figures are identified as estimates on the sheet. They have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
