CARDINGTON VILLAGE (Staff Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL087480,Long,-0.4132,Lat,52.1201,Elevation,88,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
November,,,,,,,0.8,1.49,1.03,0.89,1.67,1.23,5.15,1.7,1.185,1.98,1.275,1.45,0.57,1.76,1.97,2.65,0.98,2.4,1.75,1.97,1.5,0.36,1.08,1.9,0.91,0.9,3.22,1.9,1.98,3.6,3.24,2.88,3.32,0.78,1.94,2.06,3.64,2.68,1.14,3.02,2.1,1.87,2.92,0.73,2.03,,,,,,,,,
December,,,,,,,1.11,2.21,1.71,2.58,1.54,0.67,2.1,0.72,1.36,0.86,1.48,0.11,1.7,1.7,1.64,1.38,1.25,0.95,1,0.75,2.1,1.33,3.1,2.66,2.76,0.75,3,0.45,1.51,1.04,4.4,1.5,1.36,0.48,2.04,3.01,2.44,0.77,1.68,0.81,3.62,1.2,1.03,1.03,0.62,,,,,,,,,
Total,,,,,,,25.07,20.81,30.86,22.32,18.45,17.98,30.705,21.185,16.245,19.89,20.68,25.12,17.465,22.48,25.08,19.02,21.49,18,18.41,26.18,25.53,22.26,21.3,20.33,14.87,19.69,28.59,20.2,17.19,31.39,27.7,25.77,23.98,27.49,28.7,23.55,28.84,25.14,16.89,24.98,24.63,15.92,22.91,24.39,17.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1870-1879_02_pt3-page-070.csv added to location. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1870 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_04_pt2-page-004.csv added to location. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_07_pt1-page-095.csv added to location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
