BOLTON LE MOORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD720092,Long,-2.4233,Lat,53.5789,Elevation,286,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,9.85,5.38,6.5,3.41,4.8,8.71,6.1,2.9,5.22,5.57,4.1,6,6.36,2.58,3.17,2.96,5.41,3.25,6.85,7.03,2.96,8.76,3.95,5.74,1.08,5.18,2.2,2.44,2.68,3.99,6.12,2.69,5.61,5.48,3.92,7.74,2.47,3.87,6.7,3.89,1.76,4.8,3.47,7.38,5.57,4.49,7.89,3.29,1.45,4.39,5.3,7.15,5.19,2.07,3.91,3.24,1.97,5.88,2.06,8.72,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,4.02,6.58,10.47,1.59,1.96,5.78,5.12,2.64,3.19,0.42,7.84,3.64,1.17,0.22,7.34,2.92,6.87,3.93,4.49,2.97,1.98,7.15,1.05,8.72,2.57,5.82,2.7,5.9,4.04,4.43,3.34,5.4,4.89,3,1.91,6.6,4.63,9.82,4.28,3.57,3.64,4.15,1.38,4.44,1.59,6.78,5.1,3.09,3.21,8.21,5.93,4.56,4.58,5.51,3.53,6.14,3.71,2.75,4.41,0.72,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,62.3,53.77,51.7,43.98,46.44,53.78,42.25,47.85,45.26,45.03,53.87,38.63,49.4,34.63,48.11,40.82,52.32,54.05,47.77,47.99,41.89,55.19,36.88,45.46,36.19,49.23,40.19,41.02,46.02,57.66,44.91,53.43,53.75,42.74,37.51,59.2,45.27,46.34,49,43.47,40.93,57.59,42.69,48.67,43.94,46.1,60.33,45.79,42.82,43.36,51.56,54.07,45.99,35.75,42.28,47.17,27.92,36.59,39.6,43.95,47.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1841 total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1849 Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1850 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_07_pt4-page-048.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_09_pt1-page-193.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_15_pt1-page-237.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
