SNOWDON GLASLYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH618545,Long,-4.064137,Lat,53.069807,Elevation,2050,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,,15.03,8.61,13.51,17.12,15,20.13,16,5.43,14.34,16.51,-999,7.42,9.25,8.25,9.2,19.2,10.9,7.98,18.45,22.67,23.83,31.5,20.25,25.6,12.55,4.6,6,16.1,16.8,6,19.9,22.2,21.6,10.4,4.1,9.6,25.2,2.6,24.8,21.2,12,15.3,13.8,17.4,11.8,20.4,25.2,5.7,7.4,6.1,8.9,21.4,31.6
December,,13.21,17.01,21.5,18.3,20.63,9.22,14.9,24.91,7.29,6.76,27.32,26.7,10.72,23.65,20.3,22.05,26.65,11.63,4.5,3.88,13.3,19.9,18.25,13.75,16.55,3.95,26,7.6,20.15,14.3,16.9,13.3,15.6,13.1,22.25,6,20.6,13.3,19.35,12.4,14.5,22.1,9.5,24.6,12.2,8,18.9,19.5,17.6,17.9,9.4,30.4,16.4
Total,,,129.72,145.94,133.01,169.1,132.54,133.13,114.53,152.38,121.25,173.71,133.27,162.15,146.86,138.37,181.7,167.35,140.93,150.23,167.39,173.52,146.32,167.35,165.65,145.3,97.55,142.05,147.87,151.15,132.9,184.7,147.3,127.15,105.55,158.75,161.1,177.3,135.1,187.92,137.35,169.8,132.9,177.8,151.6,138.4,134.8,211.4,122.2,143.25,211.9,150.7,140.9,177.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1910 Jan Feb -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR 1917 Jan Feb, Mar Apr -999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1918 Oct Nov -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR 1919 Jan Feb, Mar Apr -999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1928 Total adj for arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
