DORKING THE DENBIES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ148505,Long,-0.356772,Lat,51.242136,Elevation,610,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
November,,,,,,,,,,,,5.33,,,,,,,,,,0.64,4.58,2.96,3.49,4.29,3.24,7.13,3.91,1.71,,4.52,,,,,,,,,3.03,3.66,3.42,2.48,4.99,5.67,1.81,1.35,4.23,5.53,2.65,0.68,3.2,2.65,1.6,4.94,5.53,2.89,1.24,0.96,3.94,5.08,3.01,3.44,4.25,3.33,6.16,1.44,2.93,2.15,2.29,1.91,2.39,2.07,4.26,3.26,6.96,3.47,3.25,7.97,5.4,3.96,1.58,1.43,3.49,7.92,5.16,2.57,5.2,6.3,9.78,4.26,2.14,1.98,5.29,0.29,5.77,1.38,1.66,3.8,7.13,8.92,3.5,1.83,6.35,2.03,0.97,3.17,2.05,4.12,5.72,,
December,,,,,,,,,,,,2.33,,,,,,,,,,2.25,6.27,0.6,2.18,1.51,7.7,2.28,1.89,1.15,,3.12,,,,,,,,,0.81,5.11,2.03,3.49,2.54,3.5,4.61,4.2,4.38,1.72,3.9,5.84,1.65,2.89,3.2,0.79,2.87,4.08,3.15,4.68,5.71,8.9,4.29,1.67,9.98,7.25,3.52,2.1,2.97,5.67,3.18,2.1,5.13,3.32,5.19,3.59,0.46,6.05,3.1,8.73,3.08,0.81,0.91,0.51,9.52,5.33,4.35,3.77,5.49,2.34,2.12,2.65,4.31,2.42,3.02,4.52,3.54,3.81,5.34,1.84,2.35,3.47,2.95,0.84,2.62,3.48,5.15,2.57,3.66,6.03,4,,
Total,,,41.85,31.91,19.14,,,,,,,25.22,,,,,,,,,,33.35,45.28,31.01,32.64,32.04,34.22,42.08,30.3,37.34,,,,,,,,,,,27.94,38.28,26.59,24.5,37.38,28.34,30.1,29.77,25.14,29.26,30.89,27.29,25.26,50.04,28.59,28.19,30.06,33.61,31.48,37.69,38.72,34.42,41.92,33.55,37.27,42.82,43.67,31.76,33.74,33.54,32.05,16.27,36.34,37.43,43.81,35.54,32.65,46.13,37.61,32.39,35.3,31.12,30.67,26.12,32.22,44.13,38.47,41.18,29.76,41.72,35.09,37.43,32.43,31.49,28.98,29.44,38.25,27.77,36.08,27.05,36.48,48.07,29.72,27.87,36.12,27.25,30.43,30.39,35.18,27.93,40.52,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_G_pt1-page-041 added to location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854 Total IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1870 total removed as estimated and no data for year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
