BRIGG - BRIDGE STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE995071,Long,-0.500,Lat,53.551,Elevation,11,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
November,1.24,2.82,5.30,3.33,2.40,3.35,2.40,2.93,2.58,3.69,3.01,1.46,2.38,1.41,2.04,3.70,0.40,3.83,3.58,1.47,2.71,1.78,2.35,1.23,2.88,2.24,1.21,2.33,3.47,1.34,1.66,1.38,3.23,3.80,1.95,1.29,0.71,2.98,2.40,2.77,2.03,1.97,2.43,2.67,1.80,1.75,2.95,0.65,1.69,1.04,3.28,1.36,2.40,2.45,2.14,
December,0.27,2.35,1.14,4.90,1.88,1.84,1.11,2.77,2.42,4.71,1.46,2.57,1.24,4.17,1.08,1.87,1.49,0.83,3.05,0.91,1.89,2.11,2.10,3.78,1.71,1.94,3.09,3.32,5.30,1.91,1.13,1.56,0.58,2.27,2.47,1.74,4.45,2.78,3.33,2.35,1.08,4.35,4.52,2.25,1.16,3.82,3.32,2.51,2.04,2.16,2.76,2.00,2.09,0.85,2.55,
Total,19.94,19.47,27.98,29.86,28.52,27.77,28.90,32.08,26.25,36.91,32.57,19.99,28.64,28.24,17.71,24.47,25.29,21.70,26.52,25.54,18.28,25.13,27.86,27.22,25.28,20.86,25.62,28.15,27.97,22.12,30.28,23.71,23.27,25.75,24.31,23.88,28.89,26.86,21.50,30.41,17.97,22.75,26.41,27.34,24.98,27.37,28.20,29.61,15.75,24.20,27.99,23.67,23.35,24.70,26.97,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# A.Atkinson was the observer for 54 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
